Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | EOS 393,IND Section 18,2790,1,1,0.0,2021-06-27 18:18:11.984175
Research Independent Study | EOS 393,IND Section 19,2791,1,1,0.0,2021-06-27 18:18:14.343343
Research Independent Study | EOS 393,IND Section 20,2792,1,1,0.0,2021-06-27 18:18:16.868923
Research Independent Study | EOS 393,IND Section 21,2793,1,1,0.0,2021-06-27 18:18:19.532660
Research Independent Study | EOS 393,IND Section 22,2794,1,1,0.0,2021-06-27 18:18:22.084266
Research Independent Study | EOS 393,IND Section 25,2795,5,5,0.0,2021-06-27 18:18:24.666624
Research Independent Study | EOS 393,IND Section 70,2796,1,1,0.0,2021-06-27 18:18:27.147864
Research Independent Study | EOS 393-1,IND Section 01,2797,1,1,0.0,2021-06-27 18:18:29.503727
Research Independent Study | EOS 394,IND Section 01,2798,1,1,0.0,2021-06-27 18:18:31.881214
Research Independent Study | EOS 394,IND Section 02,2799,1,1,0.0,2021-06-27 18:18:34.239150
Research Independent Study | EOS 394,IND Section 03,2800,1,1,0.0,2021-06-27 18:18:36.655723
Research Independent Study | EOS 394,IND Section 04,2801,1,1,0.0,2021-06-27 18:18:39.003430
Research Independent Study | EOS 394,IND Section 09,2802,2,2,0.0,2021-06-27 18:18:41.421775
Research Independent Study | EOS 394,IND Section 11,2803,1,1,0.0,2021-06-27 18:18:43.769108
Research Independent Study | EOS 394,IND Section 12,2804,1,1,0.0,2021-06-27 18:18:46.136051
Research Independent Study | EOS 394,IND Section 15,2805,1,1,0.0,2021-06-27 18:18:48.529360
Research Independent Study | EOS 394,IND Section 16,2806,5,5,0.0,2021-06-27 18:18:50.887643
Research Independent Study | EOS 394,IND Section 20,2807,5,5,0.0,2021-06-27 18:18:53.222530
Research Independent Study | EOS 394,IND Section 22,2808,5,5,0.0,2021-06-27 18:18:55.562188
Senior Capstone Experience | EOS 410S,SEM Section 01,8791,12,14,14.285714285714285,2021-06-27 18:18:57.949589
