Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
3D Modeling and Animation,ISS,209,Lecture,01,3519,4,15,73.33333333333333,6/27/2021 6:24:37 PM
Animated Film: A History and Aesthetic,ISS,211,Lecture,01,3539,6,20,70.0,6/27/2021 6:24:39 PM
Introduction to Digital Humanities,ISS,222D,Lecture,001,6850,2,15,86.66666666666667,6/27/2021 6:24:42 PM
Introduction to Digital Humanities,ISS,222D,Discussion,01D,6851,2,15,86.66666666666667,6/27/2021 6:24:44 PM
Fundamentals of Web-Based Multimedia Communications,ISS,240L,Lecture,001,6852,5,15,66.66666666666666,6/27/2021 6:24:47 PM
Fundamentals of Web-Based Multimedia Communications,ISS,240L,Laboratory,01L,6854,5,15,66.66666666666666,6/27/2021 6:24:49 PM
Web Project Design and Development,ISS,241L,Laboratory,01L,10457,7,15,53.333333333333336,6/27/2021 6:24:51 PM
Humanities Text Mining and Meaning,ISS,255,Lecture,01,6856,8,15,46.666666666666664,6/27/2021 6:24:54 PM
Introduction to Digital Feminism,ISS,265S,SEM,01,5173,0,15,100.0,6/27/2021 6:24:56 PM
Interactive Graphics: Critical Code,ISS,294L,Lecture,001,7756,0,20,100.0,6/27/2021 6:24:59 PM
Interactive Graphics: Critical Code,ISS,294L,Laboratory,01L,7759,0,20,100.0,6/27/2021 6:25:01 PM
Introduction to Programming and User Interface Design in Unity 3D,ISS,320,Lecture,01,11169,1,14,92.85714285714286,6/27/2021 6:25:03 PM
Sample & Remix: Contemporary Cultural Production Across Arts & Media,ISS,321,Lecture,01,7772,2,30,93.33333333333333,6/27/2021 6:25:06 PM
Social Movements and Social Media,ISS,323S,SEM,01,6162,0,18,100.0,6/27/2021 6:25:08 PM
Theories and Practices of Data Visualization,ISS,366L,Lecture,001,3558,0,14,100.0,6/27/2021 6:25:11 PM
Theories and Practices of Data Visualization,ISS,366L,Lecture,002,11666,0,15,100.0,6/27/2021 6:25:13 PM
Theories and Practices of Data Visualization,ISS,366L,Laboratory,01L,3559,0,14,100.0,6/27/2021 6:25:16 PM
Theories and Practices of Data Visualization,ISS,366L,Laboratory,02L,11701,0,15,100.0,6/27/2021 6:25:18 PM
Performance and Technology: Composition Workshop,ISS,376,Lecture,01,5733,1,10,90.0,6/27/2021 6:25:20 PM
Performance and Technology: Composition Workshop,ISS,376,Lecture,02,5736,0,15,100.0,6/27/2021 6:25:23 PM
"Visualizing Cities: Representing Urban Landscapes, Cultures, and Environments",ISS,380,Lecture,01,6858,9,25,64.0,6/27/2021 6:25:25 PM
Bass Connections in Information Science and Culture: Independent Study Project,ISS,391,IND,01,6859,10,10,0.0,6/27/2021 6:25:28 PM
Bass Connections in Information Science and Culture: Independent Study Project,ISS,391,IND,02,6860,10,10,0.0,6/27/2021 6:25:30 PM
Bass Connections in Information Science and Culture: Independent Study Project,ISS,391,IND,03,6861,10,10,0.0,6/27/2021 6:25:32 PM
Bass Connections in Information Science and Culture: Independent Study Project,ISS,391,IND,04,6862,10,10,0.0,6/27/2021 6:25:35 PM
"Bass Connections Information, Society & Culture Research Team",ISS,396T,TUT,01,6873,10,10,0.0,6/27/2021 6:25:37 PM
"Bass Connections Information, Society & Culture Research Team",ISS,396T,TUT,02,6874,10,10,0.0,6/27/2021 6:25:39 PM
"Bass Connections Information, Society & Culture Research Team",ISS,396T,TUT,03,6875,10,10,0.0,6/27/2021 6:25:42 PM
Special Topics in Information Science + Studies,ISS,490S-1,SEM,01,6174,18,18,0.0,6/27/2021 6:25:44 PM
ISS Research Independent Study,ISS,493,IND,01,6878,3,3,0.0,6/27/2021 6:25:46 PM
ISS Research Independent Study,ISS,493,IND,02,10465,4,8,50.0,6/27/2021 6:25:49 PM
ISS Research Independent Study,ISS,493,IND,03,10466,12,18,33.33333333333333,6/27/2021 6:25:51 PM
ISS Research Independent Study,ISS,493,IND,04,10467,7,8,12.5,6/27/2021 6:25:54 PM
ISS Research Independent Study,ISS,493,IND,05,10468,1,10,90.0,6/27/2021 6:25:56 PM
ISS Research Independent Study,ISS,493,IND,06,10469,6,10,40.0,6/27/2021 6:25:58 PM
ISS Research Independent Study,ISS,493,IND,07,10470,4,10,60.0,6/27/2021 6:26:01 PM
ISS Research Independent Study,ISS,493,IND,08,10471,0,5,100.0,6/27/2021 6:26:03 PM
