Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Advanced Spanish Writing | SPANISH 301,Lecture Section 04,9725,3,12,75.0,2021-06-27 17:39:16.045550
Advanced Spanish Writing | SPANISH 301,Lecture Section 05,9420,0,12,100.0,2021-06-27 17:39:18.368536
Advanced Spanish Writing | SPANISH 301,Lecture Section 06,9421,0,12,100.0,2021-06-27 17:39:20.699125
Advanced Spanish Grammar | SPANISH 302,Lecture Section 01,9428,3,15,80.0,2021-06-27 17:39:23.036621
Introduction to Cultural Studies | SPANISH 303,Lecture Section 01,9430,0,15,100.0,2021-06-27 17:39:25.391974
Introduction to Cultural Studies | SPANISH 303,Lecture Section 02,9431,0,15,100.0,2021-06-27 17:39:27.742358
Introduction to Cultural Studies | SPANISH 303,Lecture Section 03,9432,1,15,93.33333333333333,2021-06-27 17:39:30.065416
Introduction to Cultural Studies | SPANISH 303,Lecture Section 04,9433,0,15,100.0,2021-06-27 17:39:32.447195
Advanced Spanish for Heritage Learners | SPANISH 305,Lecture Section 01,9422,0,12,100.0,2021-06-27 17:39:34.849175
"Health, Culture, and the Latino Community | SPANISH 306",Lecture Section 01,9437,1,15,93.33333333333333,2021-06-27 17:39:37.225102
"Health, Culture, and the Latino Community: Service Learning | SPANISH 306-1",Lecture Section 01,9765,0,15,100.0,2021-06-27 17:39:39.593413
Issues of Education and Immigration | SPANISH 307S,SEM Section 01,9447,2,15,86.66666666666667,2021-06-27 17:39:41.969682
Translating Spanish-English and English-Spanish | SPANISH 310,Lecture Section 01,9476,0,15,100.0,2021-06-27 17:39:44.333973
Global Humanities in Spanish | SPANISH 316S,SEM Section 01,9493,1,15,93.33333333333333,2021-06-27 17:39:46.872300
Spanish Studies Seminar | SPANISH 327S,SEM Section 01,9424,1,15,93.33333333333333,2021-06-27 17:39:49.211095
Introduction to Spanish-American Literature | SPANISH 335,Lecture Section 01,9425,0,18,100.0,2021-06-27 17:39:51.577839
Social Movements and Social Problems in Contemporary Spain | SPANISH 342,Lecture Section 01,11191,2,15,86.66666666666667,2021-06-27 17:39:53.987867
