Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Perception and the Brain | NEUROSCI 378L,Lecture Section 001,4552,0,16,100.0,2021-06-27 17:34:47.033931
Perception and the Brain | NEUROSCI 378L,Laboratory Section 01L,4553,0,16,100.0,2021-06-27 17:34:49.413897
Integrative Neuroscience Laboratory | NEUROSCI 385L,Laboratory Section 01L,3810,1,10,90.0,2021-06-27 17:34:51.773376
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 01,3811,1,1,0.0,2021-06-27 17:34:54.127217
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 02,3812,0,1,100.0,2021-06-27 17:34:56.505350
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 03,3813,1,1,0.0,2021-06-27 17:34:58.862630
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 04,3814,1,1,0.0,2021-06-27 17:35:01.202694
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 05,3815,1,1,0.0,2021-06-27 17:35:03.543736
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 06,3816,1,1,0.0,2021-06-27 17:35:05.893145
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 07,3817,1,1,0.0,2021-06-27 17:35:08.246994
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 08,3818,1,1,0.0,2021-06-27 17:35:10.589697
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 09,3819,1,1,0.0,2021-06-27 17:35:12.921125
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 10,3820,1,1,0.0,2021-06-27 17:35:15.350752
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 11,3821,1,1,0.0,2021-06-27 17:35:17.702053
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 12,3822,1,1,0.0,2021-06-27 17:35:20.046227
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 13,3823,1,1,0.0,2021-06-27 17:35:22.401742
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 14,3824,1,1,0.0,2021-06-27 17:35:24.750390
Neuroscience Independent Scholarship 1: Advanced Topics | NEUROSCI 391,IND Section 15,3825,1,1,0.0,2021-06-27 17:35:27.074546
Neuroscience Independent Scholarship 2: Advanced Topics | NEUROSCI 392,IND Section 01,3826,0,1,100.0,2021-06-27 17:35:29.443818
Neuroscience Independent Scholarship 2: Advanced Topics | NEUROSCI 392,IND Section 02,3827,1,1,0.0,2021-06-27 17:35:31.827883
Neuroscience Independent Scholarship 2: Advanced Topics | NEUROSCI 392,IND Section 03,3828,1,1,0.0,2021-06-27 17:35:34.194256
Neuroscience Independent Scholarship 2: Advanced Topics | NEUROSCI 392,IND Section 04,3829,1,1,0.0,2021-06-27 17:35:36.544524
Neuroscience Independent Scholarship 2: Advanced Topics | NEUROSCI 392,IND Section 05,3830,1,1,0.0,2021-06-27 17:35:38.917463
Current Topics in Sensory Biology | NEUROSCI 427S,SEM Section 01,9256,0,18,100.0,2021-06-27 17:35:41.325302
Neuroscience Service Learning: Brain Connections | NEUROSCI 444S,SEM Section 01,3831,2,18,88.88888888888889,2021-06-27 17:35:43.765998
